word;relative_frequency;corpus_commonality
baddie;14.0000;2
shark;33.5000;2
Billy;11.3333;3
whale;74.5000;2
Willy;1.0000;2
bat;11.5000;2
knock;70.7500;4
soft;6.5000;2
ouch;44.6667;3
nightmare;3.0000;1
witch;21.5000;2
horr;1.0000;1
horrible;28.5000;2
tyra;1.0000;1
Tyrannoxxx;1.0000;1
nowhere;3.5000;2
Tommy;1.5000;2
army;1.0000;1
key;38.5000;4
Gretas;1.0000;1
Action;6.0000;1
Tyrrana;2.0000;1
Tyranna;2.0000;1
knight;4.5000;2
cloak;2.0000;1
plug;5.5000;4
Essio;1.0000;1
killer;2.0000;2
Robin;2.0000;3
Tyrannodon;3.0000;1
ty;1.0000;1
Flinstones;1.0000;1
Patheosaurus;1.0000;1
Batmans;1.0000;1
brilliant;7.0000;2
uniform;1.0000;1
Calvin;2.0000;1
camera;5.0000;2
parachute;2.0000;2
Dinoman;1.0000;1
either;5.0000;3
as_if;1.0000;1
Terradon;1.0000;1
Dinatron;1.0000;1
eater;2.0000;1
earthquake;1.0000;1
wh;3.5000;2
Dxxxtaurs;1.0000;1
Dematrons;2.0000;1
Dematron;1.0000;1
alien;2.5000;2
idea;7.3333;3
Spike;2.0000;1
dragon;22.6667;3
flag;4.5000;4
fort;1.0000;1
dungeon;8.0000;1
goody;2.5000;2
group;1.3333;3
lock;16.6667;3
snake;62.6667;3
Sasha;4.0000;2
chum;2.5000;2
heap;2.0000;1
September;3.0000;1
tember;1.0000;1
yeek;1.0000;1
initial;1.0000;1
Chr;1.0000;1
Michelle;4.0000;1
Michelles;1.0000;1
Greta;10.0000;1
yourselves;1.0000;1
ra;1.6667;3
tra;1.0000;1
ge;1.0000;1
di;1.5000;2
goat;29.5000;4
Rhinos;1.0000;1
downhill;1.0000;1
Teradactyl;2.0000;1
Terradaon;1.0000;1
Terradons;2.0000;1
giddyup;6.0000;1
road;50.7500;4
horsie;100.0000;3
whoo;39.0000;2
yee;1.0000;1
Daniel;9.3333;3
Jesus;13.0000;2
winned;1.0000;1
Ashley;1.0000;1
sunny;5.6667;3
zzzz;2.0000;1
bozo;26.0000;1
pow;1.0000;2
Max;2.0000;2
Mighty;1.0000;1
disgust;3.6667;3
Robo;1.0000;1
cop;1.0000;1
sword;9.0000;2
cave;1.3333;3
Castleward;1.0000;1
insect;1.5000;2
ahhah;16.0000;2
chicken;76.2500;4
rooster;2.0000;1
lo;1.0000;1
Scamper;2.0000;1
yourself;9.3333;3
jeep;4.5000;2
trick;11.5000;2
shake;9.6667;3
battery;8.6667;3
Emma;4.6667;3
anybody;6.0000;4
Gnasher;2.0000;2
rip;28.0000;2
traffic;11.5000;2
front;16.2500;4
Trafficker;2.0000;1
slugger;3.0000;1
strong;15.0000;2
Skippy;1.5000;2
Casper;2.0000;1
Bumper;2.0000;2
Mowgli;1.0000;1
Gillian;1.0000;1
wan;2.5000;2
Heather;2.0000;1
nobody;33.3333;3
Playdoh;1.0000;1
yoghurt;8.0000;2
mind;21.7500;4
raspberry;1.6667;3
Tyarrana;1.0000;1
Petrie;2.0000;1
Chumper;3.0000;1
jus;4.5000;2
pack;5.6667;3
themins;2.0000;1
al;2.0000;1
roundabout;4.7500;4
healthy;2.5000;2
fridge;20.0000;3
ghost;8.5000;2
Stuart;6.5000;2
dream;5.6667;3
magic;9.6667;3
muncher;1.0000;1
grey;14.6667;3
sixteen;8.0000;2
seventeen;2.5000;2
eighteen;2.5000;2
ninety;14.5000;2
nineteen;2.5000;2
twen;2.5000;2
e;28.3333;3
burp;6.6667;3
u;10.0000;2
z;9.0000;2
v;5.0000;2
x;11.5000;2
k;8.6667;3
q;4.0000;2
Grapes;1.0000;1
lolly;10.0000;4
ice;93.0000;4
net;5.0000;1
picker;1.0000;1
quxxx;1.0000;1
ques;2.0000;1
quest;1.0000;1
question;3.0000;2
viol;2.0000;1
violin;4.5000;2
guitar;3.5000;2
xylo;2.0000;1
fi;4.0000;1
swi;1.0000;1
bumblebee;2.5000;2
tonight;2.3333;3
rewinded;1.0000;1
wide;3.0000;2
binoculars;1.0000;2
Pleseosaurus;1.0000;1
hee;3.5000;2
ponytail;3.5000;2
stretch;1.5000;2
cocoa;2.5000;2
fini;1.0000;1
crunch;45.5000;2
Seacat;1.0000;1
toe;50.7500;4
jean;8.0000;2
appetite;1.0000;1
prince;18.0000;2
cage;8.0000;3
Paddy;6.0000;1
br;1.5000;2
case;7.5000;2
loft;1.5000;2
rainy;1.5000;2
gelatin;4.0000;1
strawberry;76.0000;3
fair;12.0000;3
greedy;2.0000;1
velociraptor;1.0000;1
feed;12.3333;3
spoon;32.0000;4
Cristopher;1.0000;1
Hammy;2.0000;1
hamster;5.0000;2
pardon;7.5000;4
truth;1.0000;1
exercise;4.0000;3
G_B;1.0000;1
Hokey_Pokey;1.0000;1
fl;1.0000;1
thingy;3.0000;3
oink;27.3333;3
sheep;68.2500;4
motorbike;19.5000;2
Stripe;1.0000;1
Ethan;47.0000;2
twin;10.0000;2
mish;1.0000;1
Chelle;1.0000;1
truck;193.0000;4
dolphin;43.0000;2
Mel;1.0000;2
cough;6.5000;4
motor;7.6667;3
safe;5.6667;3
horsies;4.3333;3
helicopter;26.3333;3
fur;1.6667;3
Cecil;2.0000;1
Caspar;3.0000;1
nappy;1.3333;3
Da;2.0000;3
life;2.0000;2
drop;53.5000;4
self;5.5000;2
shower;4.6667;3
band;4.0000;3
path;1.6667;3
Sally;18.3333;3
awfully;1.0000;2
cupboard;7.0000;4
Devin;3.0000;1
Courtney;4.0000;1
Janine;1.0000;1
Henry;108.3333;3
Elizabeth;1.0000;1
Rusty;2.5000;2
wake;41.5000;4
hen;62.0000;2
Dumbo;2.0000;2
Goldilocks;2.5000;4
Goldilock;1.0000;1
wall;33.7500;4
freeze;1.5000;2
melt;3.3333;3
lamb;26.3333;3
brick;236.0000;3
cheat;2.6667;3
stew;2.0000;2
dip;3.5000;2
Mummys;3.0000;2
cli;1.0000;1
upon;5.0000;2
nose;63.2500;4
clever;10.3333;3
flip;6.0000;3
farmer;23.3333;3
harm;1.0000;2
Saturday;6.5000;2
Cindy;2.0000;1
bake;15.5000;2
wreck;6.5000;2
Rose;5.5000;2
blouse;6.0000;2
goose;36.5000;2
marry;4.0000;3
momma;1.0000;2
pony;1.5000;4
ticket;12.0000;2
thermometer;1.0000;1
glass;25.2500;4
sunglass;3.0000;2
