word;relative_frequency;corpus_commonality
mat;51.7000;40
chew;52.8000;40
circle;138.6000;40
square;63.3333;21
foot;399.0000;36
fall;939.6000;30
find;1147.1250;24
name;184.0000;24
lot;180.2500;24
money;267.0000;42
or;120.9714;35
middle;45.3889;36
a;10274.2857;7
now;2787.4286;28
food;294.0000;30
think;669.4286;28
Dad;112.5000;12
up;2272.8571;7
time;323.0000;12
one;8765.0000;7
there;12524.2857;7
can;2540.5714;14
like;2407.1429;7
come;2892.0000;14
we;2019.4286;14
good;434.0000;12
me;3876.8571;14
your;1314.2857;21
do;9133.5714;7
get;7278.5714;7
big;2135.1429;14
over;1089.0000;12
too;1112.0000;12
all;1547.8571;7
and;7379.2857;7
not;7710.7143;7
to;4803.5714;7
at;725.7143;7
play;1606.2857;14
this;6450.0000;7
make;2294.0000;12
them;1713.4286;14
see;1925.0000;12
they;1617.8571;7
eat;1308.0000;14
put;3393.4286;14
watch;462.2222;18
house;1087.0000;21
for;1482.1429;7
her;843.3333;6
just;1763.8095;21
she;815.8333;6
have;3950.0000;7
home;335.8333;6
so;416.0000;12
his;825.0000;6
thing;433.3333;21
will;1518.0000;14
something;376.6667;18
know;1300.7143;7
dog;551.5714;28
with;913.5714;7
then;534.2857;7
how;314.2857;21
ha;30.3333;18
by;133.2500;24
some;3221.0000;7
here;5828.7500;12
what;6903.2143;14
want;8438.0000;7
yes;5542.8571;7
clown;67.0000;45
caravan;58.3333;27
og;5.0000;9
Milky;7.5000;18
video;69.0000;45
nap;15.0000;18
swan;26.6667;27
brekkie;5.0000;9
bobble;36.0000;45
Tots;42.5000;18
Bangor;10.0000;9
morrow;10.0000;9
ho;22.5000;36
Mmn;5.0000;9
beside;42.0000;45
pacifier;47.5000;18
drawer;16.2500;36
sponge;15.0000;9
soap;30.0000;27
Ruth;165.0000;18
uh;129.1667;54
Bianca;22.5000;18
aye;52.5000;36
cause;328.8542;48
match;37.0000;45
Pingan;5.0000;9
aya;5.0000;9
vix;5.0000;9
Aunty;10.0000;36
Cathy;70.0000;36
bickie;22.5000;18
buggy;25.0000;18
hm;45.8333;54
grocery;12.5000;18
terrible;7.5000;18
smell;28.0000;45
husband;5.0000;9
oops;12.0000;45
Arthur;17.5000;18
tipper;17.5000;18
muck;26.2500;36
Sticklebricks;13.7500;36
ach;5.0000;36
Gung_gung;30.0000;9
chug;16.6667;27
whole;23.7714;35
hee;13.3333;27
haw;5.0000;9
piggie;28.3333;27
buzz;15.0000;36
Scott;5.0000;9
excavator;5.0000;9
dump;60.0000;27
lipstick;52.5000;36
cracker;14.7812;32
dollie;13.3333;27
Spain;20.0000;18
feets;42.5000;18
us;68.2500;20
Blobby;5.0000;18
Ernie;10.0000;9
dock;15.0000;9
hickory_dickory_dock;10.0000;18
Cinderella;16.6667;27
Godmother;5.0000;9
angel;37.5000;18
wand;5.3750;24
sing;180.9000;40
doydoydoy;5.0000;9
hang;43.7500;36
peck;50.0000;18
Peggy;15.0000;27
Patch;10.0000;18
Poppy;87.5000;18
Ben;165.0000;27
meringue;15.0000;18
sucker;65.0000;9
wood;24.0000;45
honey;30.0000;27
