word;relative_frequency;corpus_commonality
controller;7.5000;4
oh_dear;3.6667;3
Tony;2.0000;2
Sophie;9.7500;4
pizza;13.6667;6
seal;9.2500;4
soggy;1.3333;3
battery;5.4000;5
caterpillar;17.0000;4
Meg;6.6000;5
la;21.6667;3
dryer;1.0000;2
short;7.5000;6
Bethany_Bethany;1.0000;1
skip;4.6667;3
gravy;2.3333;3
bruise;4.5000;4
towel;11.0000;5
cooker;3.5000;4
sticker;14.0000;5
peeky;2.0000;1
Row_row_boat;2.0000;1
row;52.3333;3
stream;6.0000;3
semolina;1.6667;3
soldier;9.8000;5
Michael;4.2500;4
jade;3.0000;3
Bryany;1.0000;2
feather;2.2000;5
shifter;1.0000;1
Tigger;5.6667;3
sledge;1.3333;3
Grandpa_Sid;1.0000;3
boogie;1.0000;1
Axel;2.0000;1
Emma;3.7500;4
nenaw;13.0000;3
neenaw;2.7500;4
bi;3.0000;1
dear_dear;1.0000;1
squash;16.8000;5
bo;1.0000;1
zip;5.0000;4
Andy_Cole;1.0000;2
Peter;16.3333;6
Schmeichel;1.0000;2
Peter_Schmeichel;2.0000;2
Schumacher;1.0000;1
Damon_Hill;1.0000;1
Gazza;1.0000;1
Alan;5.0000;4
Cantona;1.0000;3
Ella;7.0000;2
boob;2.0000;2
grubby;1.0000;1
m;11.3333;6
pow;1.0000;2
lighthouse;1.0000;1
Glennis;1.0000;2
suitcase;2.2000;5
Errol;1.0000;1
Sharon;1.6667;3
Grandma_Peggy;4.0000;3
pillow;6.8000;5
okey_dokey;1.5000;2
Row_row_row_the_boat;1.0000;1
neck;10.7500;4
chest;2.7500;4
Row_row_the_boat;1.0000;1
crayon;23.5000;4
tatty;2.5000;4
fridge;14.0000;5
twinkle;8.2500;4
starfish;13.5000;4
crab;6.0000;4
pot;10.4000;5
fiddly;5.0000;3
willie;7.3333;3
ing;1.0000;2
c_d;3.0000;3
c_ds;1.0000;1
Liz;108.6667;3
roller;6.2000;5
dumper;9.4000;5
Weetabix;2.0000;4
dipper;3.0000;2
bolt;3.6667;3
soil;3.0000;3
trunk;7.1667;6
swish;4.5000;2
fishies;4.2500;4
forklift;1.0000;2
apricot;3.0000;1
junk;2.5000;2
honk;2.0000;2
duckie;1.0000;3
whisker;5.0000;3
Kangaroo;11.3333;3
camel;7.0000;3
hedgehog;7.0000;4
chick;15.7500;4
Squonk;2.0000;1
pest;1.0000;2
ripe;3.3333;3
safe;3.8000;5
post;19.5000;4
pooed;6.3333;3
knicker;1.0000;2
see_saw_marjorie_;2.3333;3
master;1.3333;3
ladybird;19.0000;3
body;5.1667;6
sir;2.5000;4
load;6.8000;5
Cath;3.3333;3
Morris;4.0000;1
burn;6.8000;5
pee;3.2500;4
market;6.3333;3
blanket;28.0000;3
wellies;3.3333;3
welly;5.5000;4
brolly;2.0000;3
chuck;3.5000;2
pond;10.4000;5
wiggle;7.0000;3
Sqounky;1.0000;1
baba;211.3333;3
Dada;32.6000;5
ssh;9.5000;4
e;12.2857;7
click;8.6000;5
Mo;3.0000;3
oink;15.0000;6
oy;4.0000;4
count;9.5000;6
Warren;160.3333;3
front;12.5000;6
bash;22.7500;4
dot;2.7500;4
Annie;22.6000;5
trailer;66.3333;3
lick;19.5000;4
plum;22.3333;3
hotdog;1.6667;3
oblong;3.0000;2
cheat;2.2500;4
airport;3.7500;4
plan;1.2000;5
Mike;1.6667;3
cave;1.3333;3
clop;1.5000;2
spin;10.6667;3
farmyard;5.0000;3
dream;4.2500;4
snap;22.1667;6
police;20.5000;4
motor;5.4000;5
scoop;5.0000;4
thin;1.0000;1
plastic;2.0000;4
hospital;7.3333;6
past;24.5000;4
halo;1.0000;1
creature;2.3333;3
ramp;8.0000;3
arch;3.3333;3
Rex;2.0000;3
rip;11.2000;5
cloud;4.8000;5
steam;10.0000;5
brew;1.0000;1
brewery;1.0000;1
wobble;9.8000;5
wibble;3.0000;3
flavor;1.0000;3
aubergine;6.6667;3
cheesy;2.0000;3
cock;8.2500;4
cheep;2.3333;3
hay;17.6667;3
bail;1.5000;2
clown;13.4000;5
caravan;11.6667;3
og;1.0000;1
Milky;1.5000;2
video;13.8000;5
nap;3.0000;2
swan;5.3333;3
brekkie;1.0000;1
bobble;7.2000;5
Tots;8.5000;2
Bangor;2.0000;1
morrow;2.0000;1
ho;4.5000;4
Mmn;1.0000;1
beside;8.4000;5
pacifier;9.5000;2
drawer;3.2500;4
sponge;3.0000;1
soap;6.0000;3
Ruth;33.0000;2
uh;25.8333;6
Bianca;4.5000;2
aye;10.5000;4
match;7.4000;5
Pingan;1.0000;1
aya;1.0000;1
vix;1.0000;1
Aunty;2.0000;4
Cathy;14.0000;4
bickie;4.5000;2
buggy;5.0000;2
hm;9.1667;6
grocery;2.5000;2
terrible;1.5000;2
smell;5.6000;5
husband;1.0000;1
oops;2.4000;5
Arthur;3.5000;2
tipper;3.5000;2
muck;5.2500;4
Sticklebricks;2.7500;4
ach;1.0000;4
Gung_gung;6.0000;1
chug;3.3333;3
hee;2.6667;3
haw;1.0000;1
piggie;5.6667;3
buzz;3.0000;4
Scott;1.0000;1
excavator;1.0000;1
dump;12.0000;3
lipstick;10.5000;4
dollie;2.6667;3
Spain;4.0000;2
feets;8.5000;2
Blobby;1.0000;2
Ernie;2.0000;1
dock;3.0000;1
hickory_dickory_dock;2.0000;2
Cinderella;3.3333;3
Godmother;1.0000;1
angel;7.5000;2
doydoydoy;1.0000;1
hang;8.7500;4
peck;10.0000;2
Peggy;3.0000;3
Patch;2.0000;2
Poppy;17.5000;2
Ben;33.0000;3
meringue;3.0000;2
sucker;13.0000;1
wood;4.8000;5
honey;6.0000;3
scooter;1.0000;1
Beryl;1.0000;1
gooseberry;2.0000;1
Sovereign;1.0000;1
sandal;4.0000;1
frighten;9.5000;2
cage;6.2500;4
Minor;1.0000;2
ache;8.5000;2
upside;7.0000;4
band;4.0000;3
cardi;1.0000;1
Smartie;3.5000;2
sparrow;1.0000;1
temper;1.0000;1
rosebud;1.0000;1
bicycle;7.3333;3
flag;6.3333;3
lavatory;1.0000;2
bare;6.6667;3
bot;5.5000;2
London;15.5000;2
wasp;3.3333;3
Manchester;12.5000;2
Stockport;3.0000;1
wont;4.3333;3
nanny;13.6000;5
Timothy;2.0000;1
Wendy;2.6667;3
wheelbarrow;4.7500;4
across;3.3333;3
cuckoo;1.0000;1
Barbara;3.6667;3
goodbye;5.0000;3
Cambridge;4.0000;1
brand;1.0000;1
sew;1.0000;1
elastic;4.0000;2
needle;2.3333;3
guinea;7.0000;2
nightie;1.3333;3
heater;3.0000;1
hankie;1.5000;2
ribbon;8.5000;4
lend;1.0000;2
